"Submission Date","Your Team Name (the person filling this out)",Players!,Players!,Players!,Players!,Players!,Players!,Players!,Players!,Players!,Players!,Players!,Players!
"Sep 20, 2022","A Washington Basketball Team","Dropdown: Desmond Bane, Contract Length: 6, Salary year 1: 36, Year 2: 36, Year 3: 36, Year 4: 36, Year 5: 36, Year 6: 36, Year 7: 
",,,,,"Dropdown: Jaylen Brown, Contract Length: 4, Salary year 1: 60, Year 2: 35, Year 3: 35, Year 4: 25, Year 5: , Year 6: , Year 7: 
",,,,,,"Dropdown: Lauri Markkanen, Contract Length: 2, Salary year 1: 12, Year 2: 12, Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
"
"Sep 20, 2022","heat culture","Dropdown: Desmond Bane, Contract Length: 2, Salary year 1: 14, Year 2: 11, Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,,,,"Dropdown: Jaylen Brown, Contract Length: 3, Salary year 1: 22, Year 2: 20, Year 3: 12, Year 4: 0, Year 5: , Year 6: , Year 7: 
",,,"Dropdown: Anfernee Simons, Contract Length: 0, Salary year 1: 0, Year 2: 0, Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,,"Dropdown: , Contract Length: 0, Salary year 1: 0, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
"
"Sep 19, 2022",reid,,,,,,"Dropdown: Jaylen Brown, Contract Length: 3, Salary year 1: 6, Year 2: 24, Year 3: 20, Year 4: , Year 5: , Year 6: , Year 7: 
",,,,"Dropdown: Kyle Kuzma, Contract Length: 2, Salary year 1: 6, Year 2: 14, Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,"Dropdown: Lauri Markkanen, Contract Length: 1, Salary year 1: 7, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
Dropdown: Will Barton, Contract Length: 1, Salary year 1: 5, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
"
"Sep 19, 2022","World B Freed","Dropdown: Desmond Bane, Contract Length: 3, Salary year 1: 15, Year 2: 15, Year 3: 15, Year 4: , Year 5: , Year 6: , Year 7: 
",,,,,"Dropdown: PJ Washington, Contract Length: 1, Salary year 1: 5, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
Dropdown: Jaylen Brown, Contract Length: 3, Salary year 1: 15, Year 2: 15, Year 3: 15, Year 4: , Year 5: , Year 6: , Year 7: 
",,,,,,
"Sep 16, 2022","Nikola's Wild Horses","Dropdown: Desmond Bane, Contract Length: 1, Salary year 1: 6, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,,,,"Dropdown: Robert Covington, Contract Length: 1, Salary year 1: 6, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,,,"Dropdown: , Contract Length: , Salary year 1: 43, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,
"Sep 16, 2022",Bimbos,"Dropdown: Desmond Bane, Contract Length: 2, Salary year 1: 10, Year 2: 10, Year 3: 0, Year 4: 0, Year 5: , Year 6: , Year 7: 
","Dropdown: , Contract Length: 0, Salary year 1: , Year 2: , Year 3: -66, Year 4: , Year 5: , Year 6: , Year 7: 
",,"Dropdown: , Contract Length: , Salary year 1: 0, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,"Dropdown: , Contract Length: 0, Salary year 1: 0, Year 2: 0, Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
Dropdown: , Contract Length: 0, Salary year 1: 0, Year 2: 0, Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,,"Dropdown: , Contract Length: 0, Salary year 1: 0, Year 2: 0, Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,,"Dropdown: Lauri Markkanen, Contract Length: 1, Salary year 1: 5, Year 2: 0, Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
Dropdown: Devin Vassell, Contract Length: 1, Salary year 1: 5, Year 2: 0, Year 3: 0, Year 4: , Year 5: , Year 6: , Year 7: 
"
"Sep 14, 2022","Linsanity 2.0",,,,,,,,"Dropdown: Jalen Brunson, Contract Length: 1, Salary year 1: 5, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
","Dropdown: Anfernee Simons, Contract Length: 1, Salary year 1: 6, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
","Dropdown: Mo Bamba, Contract Length: 1, Salary year 1: 7, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
Dropdown: Kyle Kuzma, Contract Length: 1, Salary year 1: 6, Year 2: , Year 3: , Year 4: , Year 5: , Year 6: , Year 7: 
",,
"Sep 13, 2022","Sweat Kennel U","Dropdown: Desmond Bane, Contract Length: 3, Salary year 1: 20, Year 2: 15, Year 3: 11, Year 4: , Year 5: , Year 6: , Year 7: 
",,,,,"Dropdown: Jaylen Brown, Contract Length: 3, Salary year 1: 18, Year 2: 15, Year 3: 14, Year 4: , Year 5: , Year 6: , Year 7: 
",,,,,,
